nohup: ignoring input
[PHB] Step 1550, mean energy: nan
[PHB] Step 29700, mean energy: nan
[PHB] Step 29750, mean energy: nan
[PHB] Step 1600, mean energy: nan
[PHB] Step 29800, mean energy: nan
[PHB] Step 1650, mean energy: nan
[PHB] Step 29850, mean energy: nan
[PHB] Step 29900, mean energy: nan
[PHB] Step 1700, mean energy: nan
[PHB] Step 29950, mean energy: nan
[PHB] Step 1750, mean energy: nan
[PHB] Step 30000, mean energy: nan
[PHB] Step 1800, mean energy: nan
[PHB] Step 1850, mean energy: nan
[PHB] Step 1900, mean energy: nan
[PHB] Step 30050, mean energy: nan
[PHB] Step 1950, mean energy: nan
[PHB] Step 30100, mean energy: nan
[PHB] Step 2000, mean energy: nan
[PHB] Step 30150, mean energy: nan
[PHB] Step 2050, mean energy: nan
[PHB] Step 30200, mean energy: nan
[PHB] Step 30250, mean energy: nan
[PHB] Step 30300, mean energy: nan
[PHB] Step 2100, mean energy: nan
[PHB] Step 30350, mean energy: nan
[PHB] Step 30400, mean energy: nan
[PHB] Step 2150, mean energy: nan
[PHB] Step 30450, mean energy: nan
[PHB] Step 2200, mean energy: nan
[PHB] Step 30500, mean energy: nan
[PHB] Step 2250, mean energy: nan
[PHB] Step 30550, mean energy: nan
[PHB] Step 30600, mean energy: nan
[PHB] Step 2300, mean energy: nan
[PHB] Step 30650, mean energy: nan
[PHB] Step 2350, mean energy: nan
[PHB] Step 30700, mean energy: nan
[PHB] Step 30750, mean energy: nan
[PHB] Step 2400, mean energy: nan
[PHB] Step 2450, mean energy: nan
[PHB] Step 30800, mean energy: nan
[PHB] Step 2500, mean energy: nan
[PHB] Step 30850, mean energy: nan
[PHB] Step 30900, mean energy: nan
[PHB] Step 30950, mean energy: nan
[PHB] Step 31000, mean energy: nan
[PHB] Step 2550, mean energy: nan
[PHB] Step 2600, mean energy: nan
[PHB] Step 2650, mean energy: nan
[PHB] Step 2700, mean energy: nan
[PHB] Step 2750, mean energy: nan
[PHB] Step 2800, mean energy: nan
[PHB] Step 31050, mean energy: nan
[PHB] Step 2850, mean energy: nan
[PHB] Step 31100, mean energy: nan
[PHB] Step 2900, mean energy: nan
[PHB] Step 2950, mean energy: nan
[PHB] Step 31150, mean energy: nan
[PHB] Step 3000, mean energy: nan
[PHB] Step 31200, mean energy: nan
[PHB] Step 31250, mean energy: nan
[PHB] Step 3050, mean energy: nan
[PHB] Step 31300, mean energy: nan
[PHB] Step 31350, mean energy: nan
[PHB] Step 31400, mean energy: nan
[PHB] Step 3100, mean energy: nan
[PHB] Step 31450, mean energy: nan
[PHB] Step 31500, mean energy: nan
[PHB] Step 3150, mean energy: nan
[PHB] Step 3200, mean energy: nan
[PHB] Step 3250, mean energy: nan
[PHB] Step 3300, mean energy: nan
[PHB] Step 31550, mean energy: nan
[PHB] Step 3350, mean energy: nan
[PHB] Step 3400, mean energy: nan
[PHB] Step 3450, mean energy: nan
[PHB] Step 3500, mean energy: nan
[PHB] Step 31600, mean energy: nan
[PHB] Step 3550, mean energy: nan
[PHB] Step 31650, mean energy: nan
[PHB] Step 3600, mean energy: nan
[PHB] Step 31700, mean energy: nan
[PHB] Step 31750, mean energy: nan
[PHB] Step 3650, mean energy: nan
[PHB] Step 31800, mean energy: nan
[PHB] Step 31850, mean energy: nan
[PHB] Step 3700, mean energy: nan
[PHB] Step 31900, mean energy: nan
[PHB] Step 3750, mean energy: nan
[PHB] Step 31950, mean energy: nan
[PHB] Step 3800, mean energy: nan
[PHB] Step 32000, mean energy: nan
[PHB] Step 3850, mean energy: nan
[PHB] Step 3900, mean energy: nan
[PHB] Step 3950, mean energy: nan
[PHB] Step 32050, mean energy: nan
[PHB] Step 4000, mean energy: nan
[PHB] Step 32100, mean energy: nan
[PHB] Step 32150, mean energy: nan
[PHB] Step 32200, mean energy: nan
[PHB] Step 32250, mean energy: nan
[PHB] Step 4050, mean energy: nan
[PHB] Step 32300, mean energy: nan
[PHB] Step 32350, mean energy: nan
[PHB] Step 4100, mean energy: nan
[PHB] Step 32400, mean energy: nan
[PHB] Step 4150, mean energy: nan
[PHB] Step 32450, mean energy: nan
[PHB] Step 4200, mean energy: nan
[PHB] Step 32500, mean energy: nan
[PHB] Step 4250, mean energy: nan
[PHB] Step 4300, mean energy: nan
